Zone,Type,Brand,AutoLinked
cr,cctld,false,true
credit,gtld,false,true
creditcard,gtld,false,true
creditunion,gtld,false,true
cricket,gtld,false,true
crown,gtld,true,true
crs,gtld,true,true
cruise,gtld,false,false
cruises,gtld,false,true
cu,cctld,false,true
cuisinella,gtld,true,true
cv,cctld,false,true
cw,cctld,false,true
cx,cctld,false,true
cy,cctld,false,true
cymru,gtld,false,true
cyou,gtld,false,true
cz,cctld,false,true
dad,gtld,false,true
dance,gtld,false,true
data,gtld,true,false
date,gtld,false,true
dating,gtld,false,true
datsun,gtld,true,true
day,gtld,false,true
dclk,gtld,true,true
dds,gtld,false,false
de,cctld,false,true
deal,gtld,false,false
dealer,gtld,false,false
deals,gtld,false,true
degree,gtld,false,true
delivery,gtld,false,true
dell,gtld,true,true
deloitte,gtld,true,false
delta,gtld,true,true
democrat,gtld,false,true
dental,gtld,false,true
dentist,gtld,false,true
desi,gtld,false,true
design,gtld,false,true
dev,gtld,false,true
dhl,gtld,true,false
diamonds,gtld,false,true
diet,gtld,false,true
digital,gtld,false,true
direct,gtld,false,true
directory,gtld,false,true
discount,gtld,false,true
discover,gtld,true,false
dish,gtld,true,false
diy,gtld,true,false
dj,cctld,false,true
dk,cctld,false,true
dm,cctld,false,true
dnp,gtld,true,true
do,cctld,false,true
docs,gtld,false,true
doctor,gtld,false,false
dog,gtld,false,true
domains,gtld,false,true
dot,gtld,false,false
download,gtld,false,true
drive,gtld,false,true
dtv,gtld,true,false
dubai,gtld,false,false
dupont,gtld,true,false
durban,gtld,false,true
dvag,gtld,true,true
dvr,gtld,true,false
dz,cctld,false,true
earth,gtld,false,true
eat,gtld,false,true
ec,cctld,false,true
eco,gtld,false,false
edeka,gtld,true,false
edu,gtld,false,true
education,gtld,false,true
ee,cctld,false,true
eg,cctld,false,true
email,gtld,false,true
emerck,gtld,true,true
energy,gtld,false,true
engineer,gtld,false,true
engineering,gtld,false,true
enterprises,gtld,false,true
epson,gtld,true,true
equipment,gtld,false,true
er,cctld,false,true
ericsson,gtld,true,false
erni,gtld,true,true
es,cctld,false,true
esq,gtld,false,true
estate,gtld,false,true
et,cctld,false,true
eu,cctld,false,true
eurovision,gtld,true,true
eus,gtld,false,true
events,gtld,false,true
exchange,gtld,false,true
expert,gtld,false,true
exposed,gtld,false,true
express,gtld,false,true
extraspace,gtld,true,false
fage,gtld,true,true
fail,gtld,false,true
fairwinds,gtld,true,true
faith,gtld,false,true
family,gtld,false,true
fan,gtld,false,true
fans,gtld,false,true
farm,gtld,false,true
farmers,gtld,true,false
fashion,gtld,false,true
fast,gtld,true,false
fedex,gtld,true,false
feedback,gtld,false,true
ferrari,gtld,true,false
ferrero,gtld,true,true
fi,cctld,false,true
fidelity,gtld,true,false
fido,gtld,true,false
film,gtld,false,true
final,gtld,false,true
finance,gtld,false,true
financial,gtld,false,true
fire,gtld,true,false
firestone,gtld,true,false
firmdale,gtld,true,true
fish,gtld,false,true
fishing,gtld,false,true
fit,gtld,false,true
fitness,gtld,false,true
fj,cctld,false,true
fk,cctld,false,true
flickr,gtld,true,false
flights,gtld,false,true
flir,gtld,true,false
florist,gtld,false,true
flowers,gtld,false,true
fly,gtld,false,true
fm,cctld,false,true
fo,cctld,false,true
foo,gtld,false,true
food,gtld,true,false
football,gtld,false,true
ford,gtld,true,false
forex,gtld,false,true
forsale,gtld,false,true
forum,gtld,false,true
foundation,gtld,false,true
fox,gtld,true,false
fr,cctld,false,true
free,gtld,false,false
fresenius,gtld,true,false
frl,gtld,false,true
frogans,gtld,true,true
frontier,gtld,true,false
ftr,gtld,true,false
fujitsu,gtld,true,false
fun,gtld,false,false
fund,gtld,false,true
furniture,gtld,false,true
futbol,gtld,false,true
fyi,gtld,false,true
ga,cctld,false,true
gal,gtld,false,true
gallery,gtld,false,true
gallo,gtld,true,false
gallup,gtld,true,false
game,gtld,false,true
games,gtld,false,false
gap,gtld,true,false
garden,gtld,false,true
gay,gtld,false,false
gb,cctld,false,true
gbiz,gtld,true,true
gd,cctld,false,true
gdn,gtld,false,true
ge,cctld,false,true
gea,gtld,true,true
gent,gtld,false,true
genting,gtld,true,true
