Zone,Type,Brand,AutoLinked
cr,cctld,false,false
credit,gtld,false,false
creditcard,gtld,false,false
creditunion,gtld,false,false
cricket,gtld,false,false
crown,gtld,true,false
crs,gtld,false,false
cruise,gtld,false,false
cruises,gtld,false,false
cu,cctld,false,false
cuisinella,gtld,true,false
cv,cctld,false,false
cw,cctld,false,false
cx,cctld,false,true
cy,cctld,false,false
cymru,gtld,false,false
cyou,gtld,false,false
cz,cctld,false,true
dad,gtld,false,false
dance,gtld,false,false
data,gtld,false,false
date,gtld,false,false
dating,gtld,false,false
datsun,gtld,true,false
day,gtld,false,false
dclk,gtld,false,false
dds,gtld,false,false
de,cctld,false,true
deal,gtld,false,false
dealer,gtld,false,false
deals,gtld,false,false
degree,gtld,false,false
delivery,gtld,false,false
dell,gtld,true,false
deloitte,gtld,true,false
delta,gtld,true,false
democrat,gtld,false,false
dental,gtld,false,false
dentist,gtld,false,false
desi,gtld,false,false
design,gtld,false,false
dev,gtld,false,false
dhl,gtld,true,false
diamonds,gtld,false,false
diet,gtld,false,false
digital,gtld,false,false
direct,gtld,false,false
directory,gtld,false,false
discount,gtld,false,false
discover,gtld,true,false
dish,gtld,true,false
diy,gtld,false,false
dj,cctld,false,false
dk,cctld,false,true
dm,cctld,false,false
dnp,gtld,true,false
do,cctld,false,false
docs,gtld,false,false
doctor,gtld,false,false
dog,gtld,false,false
domains,gtld,false,false
dot,gtld,false,false
download,gtld,false,false
drive,gtld,false,false
dtv,gtld,false,false
dubai,gtld,false,false
dupont,gtld,true,false
durban,gtld,false,false
dvag,gtld,true,false
dvr,gtld,false,false
dz,cctld,false,false
earth,gtld,false,false
eat,gtld,false,false
ec,cctld,false,false
eco,gtld,false,false
edeka,gtld,true,false
edu,gtld,false,true
education,gtld,false,false
ee,cctld,false,true
eg,cctld,false,false
email,gtld,false,false
emerck,gtld,true,false
energy,gtld,false,false
engineer,gtld,false,false
engineering,gtld,false,false
enterprises,gtld,false,false
epson,gtld,true,false
equipment,gtld,false,false
er,cctld,false,false
ericsson,gtld,true,false
erni,gtld,false,false
es,cctld,false,true
esq,gtld,false,false
estate,gtld,false,false
et,cctld,false,false
eu,cctld,false,true
eurovision,gtld,true,false
eus,gtld,false,false
events,gtld,false,false
exchange,gtld,false,false
expert,gtld,false,false
exposed,gtld,false,false
express,gtld,false,false
extraspace,gtld,true,false
fage,gtld,true,false
fail,gtld,false,false
fairwinds,gtld,true,false
faith,gtld,false,false
family,gtld,false,false
fan,gtld,false,false
fans,gtld,false,false
farm,gtld,false,false
farmers,gtld,true,false
